Airline,Year,Efficiency_stage1,Efficiency_stage2,Additive_Efficiency
Air Canada,2018,0.5152384382627104,0.5139023836007961,0.5142333855980329
Air Canada,2019,0.5209123560058896,0.5391467092451905,0.5346460147802117
Air Canada,2020,0.230520260367615,0.39073921296854774,0.36754267470052626
Air Canada,2021,0.20869868302888742,0.49161172742647347,0.4556832523218897
Air Canada,2022,0.4277011369665536,0.5154982742201062,0.49760989616775997
Air Canada,2023,0.4639783323327992,0.6158984660547331,0.5834242407659483
Air Canada,2024,0.49706059221365084,0.5578607828818873,0.5440041932015519
Air China,2018,0.6615619853888716,0.4994564978942469,0.5512898526700118
Air China,2019,0.6977232085541724,0.47030145844313825,0.5456326459760311
Air China,2020,0.39053096536019555,0.40405117013352027,0.4005908345918601
Air China,2021,0.37669731152006386,0.4508428824994294,0.43217612985242365
Air China,2022,0.24042712413695821,0.39263182834717414,0.3624713645371418
Air China,2023,0.6976737788145196,0.47529134454810756,0.5530439771923211
Air China,2024,0.8341120859692257,0.46359959811970886,0.6012904477194797
American Airlines,2018,0.9564300364880575,0.7365238823461586,0.8167939528789236
American Airlines,2019,0.9624074767084252,0.749879728777675,0.826539403142099
American Airlines,2020,0.5268041884403278,0.49706306569248687,0.5067740253206493
American Airlines,2021,0.7738566909321224,0.6221340179806248,0.6755407648710494
American Airlines,2022,0.8601795899964219,0.8674823651784281,0.8650339438384373
American Airlines,2023,0.9038577686809554,0.8845699343149497,0.8911435695315133
American Airlines,2024,0.9462758978680484,0.8794348101163664,0.9026950942778299
British Airways,2018,0.6284010901831518,0.5583662358582148,0.5756147193963863
British Airways,2019,0.6022896660040261,0.5847713241921956,0.5890405766682153
British Airways,2020,0.2754463265090506,0.3480576854788834,0.3373158834795881
British Airways,2021,0.24040701802015318,0.37474442924995943,0.356944672775975
British Airways,2022,0.48313502791756974,0.5664037154388898,0.5497791343161049
British Airways,2023,0.5412640255048666,0.6583573423391924,0.6322442219275084
British Airways,2024,0.566770790041549,0.6412521284909976,0.6242743902167083
Delta Air Lines,2018,0.9065150719215522,0.8139184898264937,0.8458029735608095
Delta Air Lines,2019,0.9415096209606938,0.8433407197862841,0.8774979066651474
Delta Air Lines,2020,0.4884976592512611,0.5141047432742099,0.5054813950281412
Delta Air Lines,2021,0.713667086995473,0.6743976266773684,0.6878174915560185
Delta Air Lines,2022,0.7696316172387082,0.9826322690687863,0.9173413008149229
Delta Air Lines,2023,0.8741843116291872,0.9901095467643859,0.9525940085196167
Delta Air Lines,2024,0.926759770285572,0.9999999999999997,0.9758634993259685
Easyjet,2018,0.4712885339344387,0.6726018790070778,0.6401593120517913
Easyjet,2019,0.4842878842119521,0.661084453566493,0.630063499693616
Easyjet,2020,0.2709024537449856,0.41053806561951134,0.3947144483420547
Easyjet,2021,0.23011420876110508,0.38589328876446577,0.3737425580312765
Easyjet,2022,0.44108052826745,0.5852518675966741,0.5618691337045825
Easyjet,2023,0.45892410847933646,0.7554636915175988,0.7048271608924332
Easyjet,2024,0.4690334888458733,0.7620242079881249,0.709369821837291
Emirates,2018,1.000000000000005,0.6437276344075624,0.7824113275851408
Emirates,2019,0.9999999999996386,0.6117515616062708,0.7575095362867483
Emirates,2020,0.25047315173580725,0.5242807998517346,0.4758314260051172
Emirates,2021,0.5447048910113139,0.5918949521065071,0.57919952126263
Emirates,2022,0.7637714088856102,0.7507438133158025,0.7547021184404332
Emirates,2023,0.9269242796010693,0.7736702217490068,0.8251243176916887
Emirates,2024,0.966610040338075,0.758951077601148,0.830083957466069
Frontier Airlines,2018,0.9999999999995463,0.9999999999995619,0.9999999999995607
Frontier Airlines,2019,0.8982131680197593,0.8112644147863297,0.8189080590416877
Frontier Airlines,2020,1.0000000000001505,0.8384263162066077,0.8497431764410155
Frontier Airlines,2021,0.7452521154842605,0.6095291251582717,0.6224006004864586
Frontier Airlines,2022,0.6687909623945323,0.7360619004281995,0.7291901213900905
Frontier Airlines,2023,0.6837736191650773,0.6697797833277135,0.6714348160477244
Frontier Airlines,2024,0.6093806410368692,0.6262876083189812,0.62409810280312
Indigo,2018,0.5435675349232436,0.2746096538062912,0.31314215443728133
Indigo,2019,0.512498078096305,0.2705975581043395,0.31030236591566235
Indigo,2020,0.25186660571253877,0.2128327360001594,0.21700599668415532
Indigo,2021,0.3743200675097513,0.24297916555653454,0.2621007834923226
Indigo,2022,0.4971795561974538,0.3129777405664229,0.3482314180453545
Indigo,2023,0.49889894638694005,0.3509255138277449,0.38229109148958385
Indigo,2024,0.479561255310079,0.3708635003795153,0.39581413665189935
Jetblue Airways,2018,0.4872127141693738,0.5058146479135626,0.5028316784327304
Jetblue Airways,2019,0.5100458932513494,0.5061035445395798,0.5067711604840539
Jetblue Airways,2020,0.2890535187471592,0.34061937285897953,0.333355513764628
Jetblue Airways,2021,0.4165373229199425,0.465439361762265,0.4574433669323984
Jetblue Airways,2022,0.2686064396441307,0.8175772500767279,0.7533182014022134
Jetblue Airways,2023,0.4291455559788131,0.5745834849992775,0.54869353337311
